figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,70,0.4285714286,0.8378378378,-20.7964515686,20.7964515686,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,71,0.4395604396,0.8378378378,-21.1020565033,21.1020565033,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,72,0.4505494505,0.8378378378,-21.2551288605,21.2551288605,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,73,0.4615384615,0.8378378378,-21.3050861359,21.3050861359,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,74,0.4725274725,0.8378378378,-21.3392944336,21.3392944336,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,75,0.4835164835,0.8378378378,-21.3695526123,21.3695526123,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,76,0.4835164835,0.8648648649,-21.4245471954,21.4245471954,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,77,0.4835164835,0.8918918919,-21.7528839111,21.7528839111,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,78,0.4835164835,0.9189189189,-21.7616844177,21.7616844177,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,79,0.4945054945,0.9189189189,-21.7842464447,21.7842464447,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,80,0.5054945055,0.9189189189,-21.8247280121,21.8247280121,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,81,0.5164835165,0.9189189189,-21.9498405457,21.9498405457,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,82,0.5274725275,0.9189189189,-21.9966354370,21.9966354370,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,83,0.5384615385,0.9189189189,-22.0592918396,22.0592918396,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,84,0.5494505495,0.9189189189,-22.1367416382,22.1367416382,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
